City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Mahon,ES,2020-02-22 21:50:07,39.89,4.27,48.2,93,0,4.7,clear sky,0.0,0.0
1,Rikitea,PF,2020-02-22 21:42:05,-23.12,-134.97,78.94,70,1,7.52,clear sky,0.0,0.0
2,Ushuaia,AR,2020-02-22 21:45:54,-54.8,-68.3,69.8,52,75,9.17,broken clouds,0.0,0.0
3,Punta Arenas,CL,2020-02-22 21:50:07,-53.15,-70.92,69.8,46,100,25.28,overcast clouds,0.0,0.0
4,Roma,US,2020-02-22 21:48:18,43.21,-75.46,42.01,51,90,10.29,overcast clouds,0.0,0.0
5,Lata,PT,2020-02-22 21:48:08,40.16,-8.33,59.0,93,0,3.36,clear sky,0.0,0.0
6,Avarua,CK,2020-02-22 21:46:49,-21.21,-159.78,80.6,78,69,8.05,light rain,0.0,0.0
7,Hermanus,ZA,2020-02-22 21:47:13,-34.42,19.23,66.99,88,89,4.0,overcast clouds,0.0,0.0
8,Albany,US,2020-02-22 21:50:08,42.6,-73.97,42.8,55,1,13.87,clear sky,0.0,0.0
9,Busselton,AU,2020-02-22 21:50:08,-33.65,115.33,66.99,69,5,10.8,clear sky,0.0,0.0
10,Puerto Ayora,EC,2020-02-22 21:50:09,-0.74,-90.35,82.4,78,40,9.17,shower rain,0.0,0.0
11,Portland,US,2020-02-22 21:46:08,45.52,-122.68,57.0,43,75,2.26,broken clouds,0.0,0.0
12,Isangel,VU,2020-02-22 21:45:57,-19.55,169.27,82.4,78,20,16.35,few clouds,0.0,0.0
13,Yellowknife,CA,2020-02-22 21:50:09,62.46,-114.35,5.0,60,20,6.93,few clouds,0.0,0.0
14,Castro,BR,2020-02-22 21:48:19,-24.79,-50.01,70.52,75,34,5.53,light rain,0.38,0.0
15,Qaanaaq,GL,2020-02-22 21:50:10,77.48,-69.36,-14.08,64,99,4.52,overcast clouds,0.0,0.0
16,Vardo,NO,2020-02-22 21:45:06,70.37,31.11,33.4,82,5,25.99,clear sky,0.0,0.0
17,Tromso,NO,2020-02-22 21:50:10,69.65,18.96,35.6,93,75,28.86,light intensity shower rain,0.0,0.0
18,Ituango,CO,2020-02-22 21:50:10,7.17,-75.76,67.26,87,100,1.25,moderate rain,5.0,0.0
19,Mataura,NZ,2020-02-22 21:50:11,-46.19,168.86,60.01,77,70,15.01,broken clouds,0.0,0.0
20,Hobart,AU,2020-02-22 21:46:20,-42.88,147.33,55.99,76,20,6.93,few clouds,0.0,0.0
21,Beira,MZ,2020-02-22 21:50:11,-19.84,34.84,80.6,88,4,5.82,clear sky,0.0,0.0
22,Bluff,NZ,2020-02-22 21:50:11,-46.6,168.33,60.01,77,68,15.01,light rain,0.19,0.0
23,Fairbanks,US,2020-02-22 21:43:39,64.84,-147.72,12.0,84,90,10.29,overcast clouds,0.0,0.0
24,Leh,IN,2020-02-22 21:50:11,34.17,77.58,-5.22,54,0,3.06,clear sky,0.0,0.0
25,Mezica,SI,2020-02-22 21:50:12,46.52,14.85,41.0,80,100,1.12,overcast clouds,0.0,0.0
26,Jamestown,US,2020-02-22 21:48:23,42.1,-79.24,42.8,44,1,18.34,clear sky,0.0,0.0
27,Olafsvik,IS,2020-02-22 21:45:21,64.89,-23.71,28.99,70,100,5.37,overcast clouds,0.0,0.0
28,Brae,GB,2020-02-22 21:47:53,60.4,-1.35,41.0,86,68,17.22,light rain,0.94,0.0
29,Dikson,RU,2020-02-22 21:43:54,73.51,80.55,16.52,93,100,25.37,light snow,0.0,0.81
30,Sao Jose Da Coroa Grande,BR,2020-02-22 21:50:13,-8.9,-35.15,82.13,80,70,14.45,broken clouds,0.0,0.0
31,Dongsheng,CN,2020-02-22 21:49:26,39.82,109.98,28.36,54,0,16.17,clear sky,0.0,0.0
32,Mar Del Plata,AR,2020-02-22 21:49:05,-38.0,-57.56,62.6,67,0,13.87,clear sky,0.0,0.0
33,Cayambe,EC,2020-02-22 21:50:13,0.05,-78.13,64.4,77,75,8.05,light rain,0.0,0.0
34,Port Blair,IN,2020-02-22 21:50:13,11.67,92.75,80.6,78,40,4.7,mist,0.0,0.0
35,Victoria,HK,2020-02-22 21:50:14,22.29,114.16,64.99,77,20,20.8,few clouds,0.0,0.0
36,Evensk,RU,2020-02-22 21:44:24,61.95,159.23,-13.77,77,95,4.23,overcast clouds,0.0,0.0
37,Bumba,CD,2020-02-22 21:50:14,2.18,22.47,77.41,43,99,1.59,overcast clouds,0.0,0.0
38,Kahama,TZ,2020-02-22 21:50:14,-3.83,32.6,67.82,85,95,0.85,overcast clouds,0.0,0.0
39,Tchibanga,GA,2020-02-22 21:50:14,-2.85,11.03,75.58,97,100,3.4,light rain,2.56,0.0
40,Krasnyy Yar,RU,2020-02-22 21:50:14,46.53,48.35,30.2,86,100,8.95,overcast clouds,0.0,0.0
41,Lakatoro,VU,2020-02-22 21:48:24,-16.1,167.42,82.4,78,40,1.12,scattered clouds,0.0,0.0
42,Cape Town,ZA,2020-02-22 21:45:24,-33.93,18.42,66.99,77,20,24.16,few clouds,0.0,0.0
43,Gobabis,NA,2020-02-22 21:48:13,-22.45,18.97,71.6,78,62,3.36,broken clouds,0.0,0.0
44,Nosy Varika,MG,2020-02-22 21:50:15,-20.58,48.53,72.61,90,100,7.67,light rain,1.5,0.0
45,Norman Wells,CA,2020-02-22 21:50:16,65.28,-126.83,6.8,77,75,5.82,light snow,0.0,0.0
46,Mafinga,TZ,2020-02-22 21:50:16,-7.25,35.07,70.34,95,100,1.48,moderate rain,7.63,0.0
47,Seymchan,RU,2020-02-22 21:50:16,62.88,152.43,-26.18,88,96,0.94,overcast clouds,0.0,0.0
48,Mana,GF,2020-02-22 21:44:45,5.66,-53.78,81.18,76,100,6.67,light rain,0.19,0.0
49,Maceio,BR,2020-02-22 21:47:31,-9.67,-35.74,82.4,78,20,11.41,few clouds,0.0,0.0
50,Paamiut,GL,2020-02-22 21:50:17,61.99,-49.67,16.95,89,100,14.63,overcast clouds,0.0,0.0
51,Chokurdakh,RU,2020-02-22 21:44:12,70.63,147.92,-13.88,97,100,1.48,overcast clouds,0.0,0.0
52,Ponta Do Sol,PT,2020-02-22 21:50:18,32.67,-17.1,69.01,77,20,18.34,few clouds,0.0,0.0
53,Flinders,AU,2020-02-22 21:46:07,-34.58,150.86,71.01,82,100,2.24,light rain,0.13,0.0
54,Kaitangata,NZ,2020-02-22 21:44:37,-46.28,169.85,62.01,59,66,10.0,broken clouds,0.0,0.0
55,Cherskiy,RU,2020-02-22 21:50:18,68.75,161.3,-20.52,97,96,4.97,overcast clouds,0.0,0.0
56,Pevek,RU,2020-02-22 21:50:19,69.7,170.31,-12.15,98,100,10.78,light snow,0.0,0.13
57,Bandarbeyla,SO,2020-02-22 21:44:42,9.49,50.81,76.86,78,25,17.81,scattered clouds,0.0,0.0
58,Bambous Virieux,MU,2020-02-22 21:50:19,-20.34,57.76,77.0,88,75,3.36,broken clouds,0.0,0.0
59,Aklavik,CA,2020-02-22 21:50:19,68.22,-135.01,1.4,77,90,4.7,light snow,0.0,0.0
60,Barrow,US,2020-02-22 21:46:55,71.29,-156.79,-11.2,76,90,5.82,haze,0.0,0.0
61,Alice Springs,AU,2020-02-22 21:46:43,-23.7,133.88,60.8,31,0,2.24,clear sky,0.0,0.0
62,Great Yarmouth,GB,2020-02-22 21:43:50,52.61,1.73,48.99,75,100,13.87,overcast clouds,0.0,0.0
63,Lebu,CL,2020-02-22 21:50:20,-37.62,-73.65,66.42,62,15,5.06,few clouds,0.0,0.0
