City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Victoria,HK,70.0,few clouds,22.29,114.16,Mini Hotel Central
2,Pedro Leopoldo,BR,71.6,broken clouds,-19.62,-44.04,JJ Imoveis PL
4,Santa Rosa,PH,82.0,few clouds,14.31,121.11,Sta Rosa Budget Room
5,Sungairaya,ID,75.43,broken clouds,0.7,108.9,808 artel
6,Souillac,MU,73.99,few clouds,-20.52,57.52,Bils' Villa
15,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
17,Arraial Do Cabo,BR,75.99,overcast clouds,-22.97,-42.03,Pousada Porto Praia
20,Hilo,US,80.6,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
27,Bell Ville,AR,70.2,clear sky,-32.63,-62.69,Hotel Central
28,Ugoofaaru,MV,83.08,scattered clouds,5.67,73.0,Ungoofaaru Inn
31,Atuona,PF,81.54,few clouds,-9.8,-139.03,Villa Enata
34,Avarua,CK,77.0,heavy intensity rain,-21.21,-159.78,Paradise Inn
35,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
37,Carnarvon,AU,73.4,clear sky,-24.87,113.63,Hospitality Carnarvon
40,Abu Dhabi,AE,73.4,scattered clouds,24.47,54.37,Beach Rotana
48,Yenagoa,NG,80.24,overcast clouds,4.92,6.26,Amba Hotels Limited
49,Saint-Pierre,RE,75.2,clear sky,-21.34,55.48,Lindsey Hôtel
54,Puerto Ayora,EC,82.4,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
61,Bengkulu,ID,74.61,clear sky,-3.8,102.27,Grage Hotel Bengkulu
62,Bambous Virieux,MU,73.99,few clouds,-20.34,57.76,Casa Tia Villa
71,Coahuayana,MX,84.2,few clouds,18.73,-103.68,Hotel Los Arcos
74,Busselton,AU,75.0,scattered clouds,-33.65,115.33,Observatory Guest House
77,Port Lincoln,AU,73.04,clear sky,-34.73,135.87,Port Lincoln Hotel
78,Ponta Do Sol,PT,70.0,few clouds,32.67,-17.1,Hotel do Campo
82,Vaini,TO,82.4,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
91,Tiarei,PF,87.8,few clouds,-17.53,-149.33,Le Rocher de Tahiti
95,Flinders,AU,81.0,few clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
100,Sabang,ID,82.09,clear sky,5.89,95.32,Hotel Citra
104,Morondava,MG,74.73,overcast clouds,-20.28,44.28,La Case Bambou
107,Ewa Beach,US,82.0,broken clouds,21.32,-158.01,Parkside By Gentry
115,Mar Del Plata,AR,70.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
118,Labuhan,ID,78.08,clear sky,-6.88,112.21,bador sepret
119,Nautla,MX,70.81,few clouds,20.22,-96.78,Casa Blanca
122,Namibe,AO,73.51,overcast clouds,-15.2,12.15,Chik-Chik Namibe
126,Porto Novo,BJ,84.2,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
127,Vao,NC,78.49,broken clouds,-22.67,167.48,Hotel Kou-Bugny
129,Tautira,PF,87.8,few clouds,-17.73,-149.15,Pension Oaoa
133,Pitimbu,BR,82.4,few clouds,-7.47,-34.81,Reserva do Abiaí
138,Cidreira,BR,72.73,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
149,Salalah,OM,75.2,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
152,Faanui,PF,83.05,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
153,Mildura,AU,80.01,broken clouds,-34.2,142.15,Mercure Hotel Mildura
158,Cururupu,BR,74.55,scattered clouds,-1.83,-44.87,Pousada Través'cia
165,Kavaratti,IN,81.57,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
168,Lagos,NG,84.2,few clouds,6.58,3.75,
170,Berbera,SO,75.51,clear sky,10.44,45.01,Damal Hotel
173,Port-Gentil,GA,80.6,few clouds,-0.72,8.78,Fengshui Residence
176,Cabo San Lucas,MX,78.8,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
178,Vila Velha,BR,77.0,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
180,Porto Belo,BR,75.2,broken clouds,-27.16,-48.55,Costa Verde Beach Hotel
182,Redcliffe,AU,77.0,broken clouds,-27.23,153.1,Scarborough Beach Resort
188,Chicama,PE,75.2,mist,-7.84,-79.15,Hotel Las Aldas
192,Bathsheba,BB,78.8,scattered clouds,13.22,-59.52,Atlantis Hotel
193,Itarema,BR,75.81,few clouds,-2.92,-39.92,Windvillage
194,Pedernales,DO,78.8,broken clouds,18.04,-71.74,Hotel Costa Marina
196,Kulhudhuffushi,MV,82.06,overcast clouds,6.62,73.07,Haajy Guest House 1
199,Quatre Cocos,MU,73.99,few clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
207,Hithadhoo,MV,83.64,overcast clouds,-0.6,73.08,Scoop Guest House
211,Huarmey,PE,76.15,overcast clouds,-10.07,-78.15,Hotel Miramar
212,Isiro,CD,71.62,clear sky,2.77,27.62,Nova
214,Luanda,AO,80.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
215,Panaba,MX,73.62,broken clouds,21.28,-88.27,Hotel California
217,Byron Bay,AU,75.2,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
220,Kununurra,AU,89.6,scattered clouds,-15.77,128.73,Hotel Kununurra
221,Kahului,US,82.4,clear sky,20.89,-156.47,Maui Seaside Hotel
224,Hervey Bay,AU,82.0,broken clouds,-25.3,152.85,Shelly Bay Resort
225,Srivardhan,IN,74.21,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
232,Batie,BF,82.06,few clouds,9.88,-2.92,Auberge SONDAR AFACI
237,Airai,TL,75.87,clear sky,-8.93,125.41,Juvinal Martin
238,Zinacantan,MX,84.2,clear sky,16.75,-92.7,Ermis house
240,Mattru,SL,77.86,few clouds,7.62,-11.83,Boima Gbondo's Compound
241,Ixhuatan,MX,86.11,clear sky,16.36,-94.48,Esq. De Los Inocentes
243,Tutoia,BR,75.6,broken clouds,-2.76,-42.27,Pousada Guará's
246,Pillaro,EC,71.6,broken clouds,-1.17,-78.53,HOTEL SAN LUIS - Hoteles hotel en Pillaro
