City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2020-02-21 23:38:03,70.63,147.92,-21.24,97,34,2.21
1,Hermanus,ZA,2020-02-21 23:40:00,-34.42,19.23,68.0,83,53,5.01
2,Rikitea,PF,2020-02-21 23:40:00,-23.12,-134.97,79.11,61,33,5.03
3,Barrow,US,2020-02-21 23:40:01,71.29,-156.79,-9.4,76,90,10.29
4,Chato,TZ,2020-02-21 23:40:01,-2.64,31.77,73.26,77,75,8.25
5,Dunedin,NZ,2020-02-21 23:38:38,-45.87,170.5,57.0,72,100,13.0
6,The Valley,AI,2020-02-21 23:40:02,18.22,-63.06,77.0,69,40,6.93
7,Bubaque,GW,2020-02-21 23:35:20,11.28,-15.83,79.59,70,81,13.49
8,Khatanga,RU,2020-02-21 23:37:24,71.97,102.5,-15.83,96,34,8.46
9,Jamestown,US,2020-02-21 23:36:33,42.1,-79.24,30.2,54,1,10.29
10,Hovd,MN,2020-02-21 23:38:19,48.01,91.64,6.24,79,80,1.07
11,Pyryatyn,UA,2020-02-21 23:40:03,50.24,32.51,32.25,78,69,1.07
12,Tuktoyaktuk,CA,2020-02-21 23:40:03,69.45,-133.04,1.4,84,90,10.29
13,Saint-Philippe,RE,2020-02-21 23:40:04,-21.36,55.77,77.0,73,90,4.7
14,Tasiilaq,GL,2020-02-21 23:37:56,65.61,-37.64,15.8,66,97,3.8
15,Thompson,CA,2020-02-21 23:35:06,55.74,-97.86,35.6,51,75,11.41
16,Ust-Nera,RU,2020-02-21 23:40:04,64.57,143.2,-26.37,99,100,2.26
17,Marfino,RU,2020-02-21 23:40:04,55.7,37.38,36.0,94,68,4.47
18,Sao Filipe,CV,2020-02-21 23:37:39,14.9,-24.5,69.08,80,25,18.3
19,Chikwawa,MW,2020-02-21 23:40:05,-16.03,34.8,67.64,93,98,3.11
20,Kruisfontein,ZA,2020-02-21 23:40:05,-34.0,24.73,62.29,93,0,3.56
21,Tokur,RU,2020-02-21 23:40:05,53.13,132.9,-3.86,84,50,1.81
22,Sargatskoye,RU,2020-02-21 23:40:06,55.61,73.5,28.36,96,100,5.57
23,Mataura,NZ,2020-02-21 23:40:06,-46.19,168.86,54.0,76,97,14.0
24,Mandalgovi,MN,2020-02-21 23:37:55,45.76,106.27,8.67,63,0,11.05
25,Yellowknife,CA,2020-02-21 23:40:06,62.46,-114.35,14.0,78,20,12.75
